student_id,question_id,topic,difficulty,question_type,student_answer,correct_answer,is_correct,score,time_spent,result,transaction
S82,Q8,Classification,Hard,True/False,Decision Tree,Decision Tree,1,1,25,Correct,"['Student_S82', 'Topic_Classification', 'Difficulty_Hard', 'Correct']"
S29,Q9,Clustering,Hard,MCQ,Initial centroids,Initial centroids,1,1,47,Correct,"['Student_S29', 'Topic_Clustering', 'Difficulty_Hard', 'Correct']"
S55,Q3,Classification,Easy,MCQ,Decision Tree,Decision Tree,1,1,24,Correct,"['Student_S55', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S65,Q39,Classification,Hard,MCQ,Decision Tree,Decision Tree,1,1,55,Correct,"['Student_S65', 'Topic_Classification', 'Difficulty_Hard', 'Correct']"
S84,Q45,Evaluation Metrics,Medium,MCQ,Detect anomalies,Accuracy,0,0,47,Wrong,"['Student_S84', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Wrong']"
S36,Q52,Classification,Easy,True/False,True,Decision Tree,0,0,27,Wrong,"['Student_S36', 'Topic_Classification', 'Difficulty_Easy', 'Wrong']"
S20,Q14,Data Preprocessing,Easy,MCQ,Reduce dimensionality,True,0,0,16,Wrong,"['Student_S20', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Wrong']"
S46,Q55,Data Preprocessing,Hard,True/False,True,True,1,1,12,Correct,"['Student_S46', 'Topic_Data Preprocessing', 'Difficulty_Hard', 'Correct']"
S94,Q30,Evaluation Metrics,Easy,True/False,Accuracy,Accuracy,1,1,15,Correct,"['Student_S94', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Correct']"
S71,Q19,Data Preprocessing,Hard,MCQ,True,True,1,1,55,Correct,"['Student_S71', 'Topic_Data Preprocessing', 'Difficulty_Hard', 'Correct']"
S9,Q3,FP-Growth,Medium,MCQ,Uses FP-tree,Uses FP-tree,0,0,16,Wrong,"['Student_S9', 'Topic_FP-Growth', 'Difficulty_Medium', 'Wrong']"
S49,Q18,Outlier Detection,Hard,True/False,Detect anomalies,Detect anomalies,1,1,20,Correct,"['Student_S49', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Correct']"
S48,Q23,FP-Growth,Hard,True/False,Uses FP-tree,Uses FP-tree,1,1,54,Correct,"['Student_S48', 'Topic_FP-Growth', 'Difficulty_Hard', 'Correct']"
S88,Q42,Clustering,Hard,MCQ,Accuracy,Initial centroids,0,0,56,Wrong,"['Student_S88', 'Topic_Clustering', 'Difficulty_Hard', 'Wrong']"
S32,Q11,Outlier Detection,Medium,True/False,Accuracy,Detect anomalies,0,0,24,Wrong,"['Student_S32', 'Topic_Outlier Detection', 'Difficulty_Medium', 'Wrong']"
S88,Q21,Classification,Easy,MCQ,True,Decision Tree,0,0,35,Wrong,"['Student_S88', 'Topic_Classification', 'Difficulty_Easy', 'Wrong']"
S35,Q5,FP-Growth,Hard,True/False,Uses FP-tree,Uses FP-tree,0,0,51,Wrong,"['Student_S35', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S64,Q26,Outlier Detection,Easy,True/False,Detect anomalies,Detect anomalies,1,1,18,Correct,"['Student_S64', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Correct']"
S32,Q48,Evaluation Metrics,Hard,True/False,Accuracy,Accuracy,1,1,57,Correct,"['Student_S32', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Correct']"
S75,Q28,Feature Selection,Medium,MCQ,Support and Confidence,Reduce dimensionality,0,0,42,Wrong,"['Student_S75', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S64,Q6,Classification,Easy,MCQ,Decision Tree,Decision Tree,1,1,50,Correct,"['Student_S64', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S21,Q51,Feature Selection,Hard,MCQ,Reduce dimensionality,Reduce dimensionality,0,0,34,Wrong,"['Student_S21', 'Topic_Feature Selection', 'Difficulty_Hard', 'Wrong']"
S77,Q30,Evaluation Metrics,Medium,MCQ,Initial centroids,Accuracy,0,0,53,Wrong,"['Student_S77', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Wrong']"
S69,Q49,Apriori,Hard,True/False,Candidate generation,Candidate generation,1,1,17,Correct,"['Student_S69', 'Topic_Apriori', 'Difficulty_Hard', 'Correct']"
S38,Q28,Association Rules,Medium,MCQ,Support and Confidence,Support and Confidence,1,1,56,Correct,"['Student_S38', 'Topic_Association Rules', 'Difficulty_Medium', 'Correct']"
S93,Q17,Evaluation Metrics,Easy,MCQ,Accuracy,Accuracy,1,1,50,Correct,"['Student_S93', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Correct']"
S39,Q54,Evaluation Metrics,Hard,MCQ,Support and Confidence,Accuracy,0,0,33,Wrong,"['Student_S39', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Wrong']"
S98,Q11,Evaluation Metrics,Hard,MCQ,Accuracy,Accuracy,1,1,48,Correct,"['Student_S98', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Correct']"
S42,Q32,Classification,Easy,True/False,Decision Tree,Decision Tree,1,1,29,Correct,"['Student_S42', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S31,Q4,FP-Growth,Hard,MCQ,Initial centroids,Uses FP-tree,0,0,56,Wrong,"['Student_S31', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S63,Q53,Clustering,Hard,MCQ,Initial centroids,Initial centroids,1,1,18,Correct,"['Student_S63', 'Topic_Clustering', 'Difficulty_Hard', 'Correct']"
S85,Q31,Evaluation Metrics,Easy,True/False,Accuracy,Accuracy,0,0,48,Wrong,"['Student_S85', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Wrong']"
S55,Q14,Evaluation Metrics,Hard,MCQ,Candidate generation,Accuracy,0,0,35,Wrong,"['Student_S55', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Wrong']"
S86,Q42,Data Preprocessing,Medium,True/False,True,True,1,1,17,Correct,"['Student_S86', 'Topic_Data Preprocessing', 'Difficulty_Medium', 'Correct']"
S32,Q15,Clustering,Medium,MCQ,Initial centroids,Initial centroids,1,1,47,Correct,"['Student_S32', 'Topic_Clustering', 'Difficulty_Medium', 'Correct']"
S71,Q15,FP-Growth,Easy,MCQ,Uses FP-tree,Uses FP-tree,1,1,55,Correct,"['Student_S71', 'Topic_FP-Growth', 'Difficulty_Easy', 'Correct']"
S81,Q4,FP-Growth,Easy,MCQ,True,Uses FP-tree,0,0,14,Wrong,"['Student_S81', 'Topic_FP-Growth', 'Difficulty_Easy', 'Wrong']"
S66,Q16,Apriori,Hard,True/False,Uses FP-tree,Candidate generation,0,0,44,Wrong,"['Student_S66', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S17,Q47,Outlier Detection,Easy,True/False,Detect anomalies,Detect anomalies,1,1,36,Correct,"['Student_S17', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Correct']"
S25,Q7,Clustering,Hard,True/False,Initial centroids,Initial centroids,1,1,32,Correct,"['Student_S25', 'Topic_Clustering', 'Difficulty_Hard', 'Correct']"
S55,Q27,Outlier Detection,Hard,MCQ,Initial centroids,Detect anomalies,0,0,13,Wrong,"['Student_S55', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Wrong']"
S52,Q47,Data Preprocessing,Easy,MCQ,True,True,1,1,22,Correct,"['Student_S52', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Correct']"
S25,Q35,Outlier Detection,Easy,True/False,Support and Confidence,Detect anomalies,0,0,27,Wrong,"['Student_S25', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Wrong']"
S60,Q16,Clustering,Medium,MCQ,Initial centroids,Initial centroids,1,1,13,Correct,"['Student_S60', 'Topic_Clustering', 'Difficulty_Medium', 'Correct']"
S84,Q35,Classification,Easy,MCQ,Support and Confidence,Decision Tree,0,0,36,Wrong,"['Student_S84', 'Topic_Classification', 'Difficulty_Easy', 'Wrong']"
S63,Q31,FP-Growth,Medium,MCQ,Uses FP-tree,Uses FP-tree,1,1,20,Correct,"['Student_S63', 'Topic_FP-Growth', 'Difficulty_Medium', 'Correct']"
S49,Q1,Feature Selection,Medium,True/False,Candidate generation,Reduce dimensionality,0,0,37,Wrong,"['Student_S49', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S90,Q47,Evaluation Metrics,Hard,True/False,Accuracy,Accuracy,1,1,19,Correct,"['Student_S90', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Correct']"
S25,Q19,FP-Growth,Easy,MCQ,Uses FP-tree,Uses FP-tree,1,1,57,Correct,"['Student_S25', 'Topic_FP-Growth', 'Difficulty_Easy', 'Correct']"
S41,Q4,Classification,Hard,True/False,Accuracy,Decision Tree,0,0,43,Wrong,"['Student_S41', 'Topic_Classification', 'Difficulty_Hard', 'Wrong']"
S21,Q4,Evaluation Metrics,Easy,MCQ,Accuracy,Accuracy,1,1,14,Correct,"['Student_S21', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Correct']"
S77,Q5,FP-Growth,Medium,MCQ,Uses FP-tree,Uses FP-tree,1,1,46,Correct,"['Student_S77', 'Topic_FP-Growth', 'Difficulty_Medium', 'Correct']"
S32,Q38,Classification,Hard,MCQ,Decision Tree,Decision Tree,1,1,36,Correct,"['Student_S32', 'Topic_Classification', 'Difficulty_Hard', 'Correct']"
S85,Q38,Evaluation Metrics,Medium,True/False,Accuracy,Accuracy,1,1,23,Correct,"['Student_S85', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Correct']"
S86,Q46,Data Preprocessing,Easy,True/False,True,True,1,1,35,Correct,"['Student_S86', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Correct']"
S17,Q43,Apriori,Medium,True/False,Candidate generation,Candidate generation,1,1,58,Correct,"['Student_S17', 'Topic_Apriori', 'Difficulty_Medium', 'Correct']"
S10,Q1,Outlier Detection,Hard,MCQ,Initial centroids,Detect anomalies,0,0,44,Wrong,"['Student_S10', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Wrong']"
S28,Q33,Apriori,Easy,True/False,Initial centroids,Candidate generation,0,0,25,Wrong,"['Student_S28', 'Topic_Apriori', 'Difficulty_Easy', 'Wrong']"
S48,Q19,Association Rules,Medium,True/False,Accuracy,Support and Confidence,0,0,10,Wrong,"['Student_S48', 'Topic_Association Rules', 'Difficulty_Medium', 'Wrong']"
S86,Q53,Evaluation Metrics,Medium,MCQ,Support and Confidence,Accuracy,0,0,26,Wrong,"['Student_S86', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Wrong']"
S15,Q57,Clustering,Hard,MCQ,Initial centroids,Initial centroids,1,1,27,Correct,"['Student_S15', 'Topic_Clustering', 'Difficulty_Hard', 'Correct']"
S37,Q39,FP-Growth,Hard,True/False,Uses FP-tree,Uses FP-tree,0,0,53,Wrong,"['Student_S37', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S82,Q55,Apriori,Hard,True/False,Candidate generation,Candidate generation,1,1,26,Correct,"['Student_S82', 'Topic_Apriori', 'Difficulty_Hard', 'Correct']"
S7,Q6,Feature Selection,Medium,MCQ,Reduce dimensionality,Reduce dimensionality,1,1,10,Correct,"['Student_S7', 'Topic_Feature Selection', 'Difficulty_Medium', 'Correct']"
S43,Q50,Association Rules,Hard,True/False,Support and Confidence,Support and Confidence,0,0,57,Wrong,"['Student_S43', 'Topic_Association Rules', 'Difficulty_Hard', 'Wrong']"
S57,Q36,Feature Selection,Hard,MCQ,Reduce dimensionality,Reduce dimensionality,1,1,17,Correct,"['Student_S57', 'Topic_Feature Selection', 'Difficulty_Hard', 'Correct']"
S10,Q57,Association Rules,Hard,MCQ,True,Support and Confidence,0,0,47,Wrong,"['Student_S10', 'Topic_Association Rules', 'Difficulty_Hard', 'Wrong']"
S71,Q10,Feature Selection,Easy,MCQ,Reduce dimensionality,Reduce dimensionality,1,1,29,Correct,"['Student_S71', 'Topic_Feature Selection', 'Difficulty_Easy', 'Correct']"
